Year_of_Study,Previous_GPA,Attendance_Percentage,CAT_1_Score,CAT_2_Score,Assignment_Score,Total_Internal_Marks,At_Risk
1,3.05,93,6,8,8,22,0
4,2.53,97,4,4,3,11,1
4,2.57,70,7,6,8,21,0
4,2.33,67,13,12,5,30,0
3,2.91,84,11,10,1,22,0
1,3.63,69,6,6,6,18,1
4,2.0,64,15,10,2,27,0
1,3.84,54,10,2,7,19,0
1,3.22,62,4,10,9,23,0
3,3.56,61,7,15,3,25,0
4,2.89,70,9,6,10,25,0
4,3.45,86,8,9,4,21,0
1,1.54,55,7,6,4,17,0
2,3.55,56,15,15,4,34,0
3,1.6,75,3,13,3,19,1
3,3.72,91,8,7,5,20,1
3,3.98,97,9,9,9,27,0
3,2.24,57,2,3,8,13,1
4,2.03,58,10,4,10,24,0
4,3.41,76,5,12,2,19,0
2,2.13,53,9,10,9,28,0
3,3.66,70,11,6,10,27,0
3,1.76,80,8,6,2,16,0
1,1.81,70,15,10,7,32,0
4,3.95,89,14,11,5,30,0
3,3.18,74,11,4,7,22,0
2,3.62,88,8,15,5,28,0
2,2.31,64,3,5,6,14,1
4,3.19,84,2,8,8,18,0
2,2.99,98,5,3,1,9,1
2,3.01,92,13,9,1,23,0
4,3.21,90,3,6,5,14,1
3,2.94,86,9,2,1,12,1
3,2.57,91,11,4,3,18,1
2,2.19,96,8,10,10,28,0
2,3.42,77,9,6,9,24,0
3,2.07,63,12,9,7,28,0
4,3.23,53,7,2,6,15,1
2,2.08,69,2,15,8,25,0
1,3.06,83,15,8,8,31,0
4,3.37,61,14,8,6,28,0
2,2.05,82,14,9,4,27,0
2,1.65,73,13,4,4,21,0
1,1.83,69,10,2,4,16,1
1,3.01,54,7,12,6,25,0
3,3.62,87,13,10,1,24,0
4,1.61,79,14,2,2,18,0
4,3.34,73,11,12,6,29,0
3,2.35,92,2,7,1,10,1
4,2.7,89,2,10,9,21,0
4,3.82,56,9,15,6,30,0
4,2.33,85,7,3,7,17,1
4,2.66,87,9,5,1,15,1
4,1.53,65,9,3,8,20,0
1,1.7,64,12,5,5,22,0
4,2.15,95,15,3,5,23,0
1,1.57,72,9,13,6,28,0
4,3.08,61,11,2,7,20,0
3,2.57,78,8,12,7,27,0
2,2.87,93,8,4,5,17,0
1,1.94,97,11,9,1,21,0
4,2.24,64,5,6,9,20,0
3,3.16,78,10,5,6,21,0
2,3.91,94,13,6,9,28,0
1,1.63,92,3,7,4,14,1
2,3.73,98,12,7,2,21,0
3,2.94,70,10,6,3,19,0
1,2.91,64,11,13,4,28,0
2,2.75,63,4,12,10,26,0
4,1.67,91,15,13,8,36,0
1,1.72,93,14,7,3,24,0
2,3.0,65,3,10,8,21,0
3,2.35,64,14,6,6,26,0
3,3.79,91,5,14,4,23,0
1,2.52,53,6,7,7,20,0
2,1.86,76,3,5,5,13,1
1,3.29,72,14,14,5,33,0
1,2.23,78,2,4,9,15,1
2,2.81,90,11,14,3,28,0
2,3.24,58,12,13,10,35,0
4,3.75,92,6,7,4,17,1
2,3.48,92,10,12,5,27,0
3,3.19,56,13,12,1,26,0
1,3.2,91,13,6,7,26,0
1,3.86,53,6,5,8,19,1
3,2.24,54,13,6,6,25,0
2,1.5,54,12,8,9,29,0
3,2.18,60,11,2,3,16,1
3,2.04,90,10,15,2,27,0
4,3.15,77,15,2,5,22,0
3,3.08,65,14,12,9,35,0
1,2.98,90,13,14,1,28,0
3,1.54,79,11,2,1,14,1
1,3.32,53,7,3,10,20,0
1,2.31,51,4,10,3,17,0
1,3.16,95,5,14,10,29,0
2,2.89,52,5,6,3,14,1
4,2.36,99,2,15,5,22,0
1,1.84,70,4,10,4,18,0
1,1.74,55,4,14,6,24,0
2,3.58,92,14,6,8,28,0
1,3.8,67,15,15,8,38,0
3,3.12,93,2,8,4,14,1
3,1.76,54,14,15,1,30,0
4,2.51,58,10,15,7,32,0
1,3.32,69,12,7,6,25,0
2,3.45,77,2,3,5,10,1
3,1.8,75,10,4,4,18,1
2,1.5,67,2,6,6,14,1
2,3.28,68,3,5,8,16,1
3,2.39,52,3,15,6,24,0
2,2.14,58,15,12,3,30,0
3,1.53,85,7,7,9,23,0
2,2.85,80,8,9,3,20,0
3,3.63,98,12,9,4,25,0
1,3.89,66,2,4,5,11,1
4,2.91,72,4,5,2,11,1
3,2.79,83,3,2,10,15,1
3,1.71,90,9,3,10,22,0
4,2.87,90,10,14,2,26,0
3,2.45,54,14,10,6,30,0
3,3.02,64,3,13,2,18,0
2,2.47,96,3,11,10,24,0
4,2.1,52,11,11,1,23,0
1,1.74,68,10,3,8,21,0
3,2.29,77,15,13,10,38,0
4,1.74,52,5,7,10,22,0
2,1.94,87,6,15,1,22,0
1,3.97,53,14,8,10,32,0
4,2.61,73,12,7,6,25,0
1,2.83,80,10,9,1,20,0
1,3.68,94,7,10,8,25,0
1,3.99,94,11,9,5,25,0
3,2.96,60,13,6,3,22,0
3,3.53,86,10,9,5,24,0
2,2.32,50,10,11,1,22,0
2,2.26,58,8,11,1,20,0
4,2.51,66,15,10,4,29,0
2,3.18,50,13,15,9,37,0
1,3.21,52,11,9,9,29,0
1,2.29,96,10,3,1,14,1
3,1.83,75,6,3,3,12,1
1,3.08,80,6,13,4,23,0
4,1.82,75,13,4,2,19,0
1,2.95,72,9,8,7,24,0
1,3.23,79,11,10,3,24,0
4,3.25,59,5,9,1,15,1
2,3.38,57,10,10,1,21,0
2,3.68,93,8,7,3,18,0
4,2.75,74,8,2,6,16,0
3,3.33,71,14,15,4,33,0
1,3.05,64,4,13,1,18,1
4,1.97,90,5,5,7,17,0
1,1.56,59,8,14,2,24,0
3,2.21,69,12,7,5,24,0
1,2.61,90,12,13,8,33,0
4,3.04,96,15,7,7,29,0
1,3.62,72,6,9,8,23,0
2,1.99,50,13,2,10,25,0
3,1.81,51,4,14,6,24,0
3,3.91,68,2,12,7,21,0
3,1.77,63,8,3,9,20,0
4,2.7,57,7,3,6,16,1
3,2.96,87,11,14,9,34,0
2,2.85,61,8,7,2,17,0
4,1.72,75,15,15,2,32,0
2,1.64,76,3,15,2,20,0
1,1.76,78,14,12,6,32,0
1,2.96,64,13,8,2,23,0
1,2.86,95,5,3,3,11,1
1,2.08,50,3,6,8,17,1
2,3.09,92,9,7,8,24,0
4,3.55,77,8,5,4,17,1
4,1.6,52,2,2,9,13,1
3,2.75,67,3,4,8,15,1
2,3.22,83,3,15,1,19,0
1,2.13,81,5,11,8,24,0
2,2.27,78,4,10,1,15,0
3,3.03,74,2,14,4,20,0
3,3.74,75,13,7,10,30,0
2,3.52,88,15,3,6,24,0
2,2.96,57,3,10,7,20,0
2,3.33,68,12,5,10,27,0
4,2.41,96,10,12,4,26,0
1,3.1,91,14,14,8,36,0
2,2.67,71,2,9,8,19,0
2,1.97,78,10,11,9,30,0
2,3.25,82,8,8,6,22,0
3,2.89,87,3,13,4,20,0
3,2.4,94,3,12,2,17,1
4,3.78,95,6,4,7,17,0
1,1.55,84,14,9,10,33,0
4,2.29,92,6,5,3,14,1
1,1.64,52,5,3,3,11,1
3,3.42,68,13,12,3,28,0
3,3.26,59,11,6,4,21,0
3,2.33,76,11,2,2,15,1
4,3.19,64,14,14,5,33,0
2,2.49,60,13,9,3,25,0
2,3.39,96,4,15,10,29,0
3,2.64,75,5,9,5,19,1
2,2.53,73,11,4,7,22,0
2,3.84,62,5,2,9,16,1
4,2.13,81,3,5,2,10,1
1,1.8,86,6,10,9,25,0
3,2.96,53,6,10,10,26,0
3,3.92,62,6,2,6,14,1
4,2.44,58,12,12,6,30,0
4,1.66,98,12,8,3,23,0
2,2.35,83,11,7,10,28,0
3,2.76,86,2,15,9,26,0
1,1.9,97,7,8,4,19,0
4,3.15,56,12,8,5,25,0
1,3.99,50,3,9,3,15,1
1,2.63,61,8,9,5,22,0
3,2.39,70,5,11,8,24,0
3,2.5,60,6,15,8,29,0
4,1.79,93,6,12,8,26,0
3,3.71,93,6,3,6,15,0
3,2.54,93,3,13,1,17,1
3,2.47,63,6,13,10,29,0
1,3.15,83,4,13,6,23,0
4,2.61,83,5,5,10,20,0
2,3.12,74,14,5,7,26,0
1,1.65,53,3,14,9,26,0
3,3.53,75,5,12,8,25,0
1,3.85,65,14,11,8,33,0
3,3.12,59,10,13,7,30,0
3,3.89,94,9,14,2,25,0
1,1.88,51,14,9,1,24,0
4,2.69,84,15,15,2,32,0
3,3.0,68,12,14,6,32,0
4,2.95,55,13,14,2,29,0
2,2.5,68,4,4,10,18,0
3,2.35,57,2,13,4,19,0
4,1.82,63,2,14,10,26,0
4,2.48,59,7,14,3,24,0
2,1.91,52,4,13,6,23,0
4,3.34,87,5,4,8,17,0
4,2.02,78,2,14,6,22,0
2,1.65,64,9,3,2,14,1
3,2.88,72,2,2,5,9,1
4,2.99,72,6,9,6,21,0
4,3.68,67,7,15,9,31,0
4,2.94,95,3,10,6,19,0
1,2.36,68,8,10,10,28,0
2,3.51,77,8,12,5,25,0
1,2.85,75,2,9,1,12,1
2,1.7,59,5,6,10,21,0
3,2.91,96,13,2,5,20,1
3,3.77,53,14,10,5,29,0
4,2.49,51,5,7,6,18,0
2,2.24,52,6,13,7,26,0
3,1.86,56,2,8,4,14,1
2,1.88,65,2,9,7,18,1
3,2.58,80,8,14,5,27,0
1,2.99,59,10,6,6,22,0
3,1.7,68,2,7,4,13,1
1,3.85,77,3,13,8,24,0
3,3.39,66,7,14,9,30,0
4,2.97,77,7,8,2,17,1
1,3.57,68,3,8,4,15,0
3,1.7,86,10,3,8,21,0
4,2.69,72,5,15,8,28,0
1,3.08,69,14,12,9,35,0
4,3.57,62,8,13,3,24,0
2,3.46,62,7,15,1,23,0
2,2.19,92,12,2,9,23,0
1,3.85,60,14,9,1,24,0
3,1.81,97,12,6,3,21,0
1,3.69,64,4,11,3,18,0
4,3.93,66,9,3,9,21,0
3,1.94,99,8,4,1,13,1
2,3.31,77,10,7,7,24,0
3,1.6,68,4,11,2,17,0
2,2.51,53,2,7,7,16,1
3,2.79,71,3,9,1,13,1
3,2.95,71,13,6,10,29,0
3,3.84,86,12,6,10,28,0
4,3.18,88,13,8,8,29,0
4,2.7,83,2,11,10,23,0
1,3.52,82,12,14,10,36,0
1,3.88,93,6,15,2,23,0
2,1.56,91,11,6,3,20,0
4,3.96,89,15,10,8,33,0
2,1.72,82,3,7,3,13,1
1,3.54,61,4,8,1,13,1
2,2.2,51,9,13,9,31,0
1,1.83,77,11,9,8,28,0
4,2.6,59,15,14,4,33,0
3,3.11,71,6,6,8,20,0
4,2.45,66,5,15,5,25,0
2,1.64,75,6,12,3,21,0
2,3.0,52,11,5,1,17,1
4,3.76,56,7,13,10,30,0
4,2.46,93,13,9,5,27,0
1,2.04,57,8,13,6,27,0
2,2.61,69,15,11,4,30,0
2,1.62,61,14,10,7,31,0
4,3.55,84,10,2,3,15,1
3,3.57,66,2,4,7,13,1
2,2.97,77,5,13,1,19,0
3,2.38,90,13,5,7,25,0
4,3.5,59,13,14,1,28,0
4,2.89,71,10,8,1,19,0
1,3.56,87,6,7,2,15,1
2,3.08,82,9,11,2,22,0
3,3.46,71,13,11,4,28,0
1,3.0,93,2,12,1,15,1
2,2.54,86,5,2,4,11,1
1,3.89,62,13,5,2,20,1
4,2.85,76,15,7,4,26,0
2,3.01,64,13,4,4,21,0
1,2.05,71,10,3,9,22,0
1,3.06,79,14,3,9,26,0
3,2.93,92,2,11,1,14,0
1,1.96,89,2,13,5,20,0
2,1.65,86,5,13,7,25,0
2,3.01,83,15,5,4,24,0
3,3.41,93,4,14,5,23,0
2,2.81,83,8,2,2,12,1
4,2.07,97,12,11,3,26,0
2,3.17,84,4,3,7,14,1
2,1.7,91,2,14,10,26,0
1,2.6,68,13,11,7,31,0
1,1.91,57,12,3,4,19,1
2,1.96,88,11,5,1,17,0
3,2.01,82,3,5,1,9,1
1,2.47,93,11,2,4,17,0
3,1.63,77,14,8,4,26,0
2,2.49,86,5,8,6,19,1
2,2.78,97,2,11,7,20,0
4,2.71,74,2,12,9,23,0
1,2.46,85,13,11,9,33,0
2,3.6,66,15,11,10,36,0
4,1.86,73,9,2,5,16,1
1,2.76,70,8,12,10,30,0
2,1.66,51,15,9,3,27,0
2,1.68,80,9,11,3,23,0
1,2.93,93,14,15,6,35,0
1,2.92,82,5,15,1,21,0
1,3.7,79,7,8,7,22,0
2,2.89,61,14,8,3,25,0
2,3.9,93,4,12,5,21,0
4,1.62,61,12,7,7,26,0
3,1.75,98,14,13,7,34,0
1,1.61,73,9,5,9,23,0
2,1.96,73,5,12,1,18,0
2,2.85,60,4,9,3,16,1
1,3.11,62,5,3,9,17,0
3,1.61,76,7,8,8,23,0
1,3.86,57,12,4,2,18,0
3,3.61,59,8,15,8,31,0
2,2.24,57,8,4,8,20,0
3,1.69,69,15,15,2,32,0
4,1.92,57,13,8,8,29,0
2,1.82,58,5,13,3,21,0
4,1.81,56,9,4,7,20,0
1,2.8,63,8,6,9,23,0
1,2.11,77,3,9,4,16,1
1,2.4,51,14,15,6,35,0
3,3.97,92,9,14,9,32,0
2,3.21,57,10,5,5,20,0
1,3.87,62,6,8,1,15,1
1,1.86,70,5,8,3,16,1
2,2.46,96,5,3,9,17,1
1,2.89,77,14,15,3,32,0
4,1.69,84,5,9,10,24,0
2,1.51,72,7,11,2,20,0
2,3.18,95,12,13,4,29,0
2,3.1,64,5,11,5,21,0
4,2.53,51,8,15,7,30,0
2,2.72,61,8,10,7,25,0
4,2.54,85,6,7,9,22,0
2,1.56,52,14,15,8,37,0
3,2.34,54,6,6,2,14,1
1,1.94,52,11,2,8,21,0
3,1.75,96,9,2,8,19,0
1,3.89,68,8,10,5,23,0
4,3.0,51,15,15,3,33,0
3,3.32,93,8,5,9,22,0
2,2.29,86,7,2,7,16,1
1,2.48,66,8,12,1,21,0
1,2.09,63,8,11,8,27,0
3,1.74,77,11,13,10,34,0
4,1.95,76,15,4,5,24,0
3,3.49,59,3,7,6,16,1
4,3.19,52,15,15,9,39,0
4,2.87,85,11,12,10,33,0
1,2.69,87,3,14,8,25,0
3,3.81,74,15,14,3,32,0
3,1.68,71,11,12,5,28,0
4,2.2,97,8,9,4,21,0
3,2.37,88,15,14,1,30,0
2,3.46,96,11,11,5,27,0
2,3.98,79,8,3,10,21,0
3,2.1,70,8,9,7,24,0
3,3.69,79,6,15,1,22,0
4,3.58,77,2,14,4,20,0
2,2.06,80,15,2,6,23,0
2,2.5,75,3,12,9,24,0
1,2.52,92,14,3,8,25,0
4,3.95,71,10,9,2,21,0
1,1.95,70,9,8,3,20,0
2,3.5,50,9,6,10,25,0
4,2.34,86,11,14,5,30,0
3,3.33,62,2,11,7,20,1
4,2.55,70,7,3,3,13,1
3,2.95,95,10,10,7,27,0
3,3.58,58,9,6,5,20,0
4,3.51,66,4,9,10,23,0
3,3.67,96,5,14,6,25,0
1,1.65,70,4,5,6,15,1
2,3.23,80,7,15,4,26,0
3,1.85,88,15,10,8,33,0
1,2.54,71,10,11,9,30,0
3,2.87,61,9,8,2,19,0
2,2.51,55,14,3,9,26,0
1,2.8,65,11,4,4,19,0
2,3.99,75,5,15,6,26,0
2,1.84,54,3,3,7,13,1
1,3.19,58,14,6,4,24,0
1,2.49,95,9,3,8,20,0
1,1.83,89,9,6,10,25,0
4,1.9,63,15,14,8,37,0
1,3.87,93,13,10,1,24,0
1,3.7,91,12,3,8,23,0
1,3.77,79,7,10,10,27,0
1,3.98,75,15,8,3,26,0
3,2.02,94,9,8,5,22,0
4,2.39,78,10,15,10,35,0
2,3.17,68,14,6,8,28,0
1,2.71,96,2,9,6,17,0
3,2.55,57,10,8,4,22,0
3,2.39,72,3,7,4,14,0
3,2.98,91,15,3,4,22,0
2,2.94,84,14,7,6,27,0
1,1.9,80,2,15,7,24,0
4,2.68,84,9,3,5,17,0
4,2.88,81,9,2,10,21,0
3,2.93,54,12,10,8,30,0
2,2.03,65,5,14,7,26,0
2,3.36,66,9,6,8,23,0
2,1.56,81,8,11,4,23,0
4,2.39,87,14,11,8,33,0
3,3.45,81,3,5,6,14,0
1,2.91,69,6,13,3,22,0
4,2.15,97,15,12,8,35,0
3,3.24,51,11,9,7,27,0
3,2.92,69,5,6,10,21,0
1,3.49,96,4,15,5,24,0
1,3.34,67,2,8,4,14,1
1,3.03,50,6,4,1,11,1
2,2.72,78,11,9,10,30,0
1,1.83,78,9,9,3,21,0
3,2.15,68,13,4,2,19,0
1,2.55,93,10,10,8,28,0
3,3.0,89,8,15,8,31,0
4,2.78,55,13,9,5,27,0
2,2.22,93,12,2,5,19,0
4,1.52,88,2,9,4,15,1
4,2.74,99,2,13,1,16,0
3,2.21,95,2,12,1,15,1
4,3.34,57,3,5,6,14,1
3,1.56,73,2,7,4,13,1
1,2.96,69,5,15,4,24,0
1,3.85,63,11,14,3,28,0
3,1.94,54,10,11,9,30,0
1,2.68,90,13,10,3,26,0
2,1.73,89,5,6,8,19,0
4,3.06,83,14,8,2,24,0
2,2.88,65,5,14,4,23,0
4,2.52,94,8,2,1,11,1
1,2.8,56,15,10,5,30,0
2,3.74,65,12,15,2,29,0
1,1.99,56,10,7,1,18,1
4,1.56,76,8,12,1,21,0
3,3.65,63,2,5,2,9,1
3,2.94,63,2,7,5,14,1
2,3.73,93,5,6,9,20,0
1,2.99,82,5,4,6,15,1
1,3.53,82,2,8,4,14,1
2,2.57,93,7,4,3,14,1
3,3.37,69,11,14,8,33,0
4,3.78,96,3,15,3,21,0
2,2.93,85,12,14,1,27,0
4,1.95,56,6,3,4,13,1
3,2.17,81,9,15,5,29,0
1,2.0,97,4,5,5,14,1
3,2.12,52,10,8,5,23,0
2,2.27,88,8,6,8,22,1
1,2.89,78,10,15,8,33,0
2,2.97,73,2,10,4,16,1
2,2.57,71,6,11,9,26,0
3,3.04,55,13,8,1,22,0
2,1.7,97,14,13,5,32,0
3,1.72,73,4,15,5,24,0
1,1.93,89,5,10,5,20,0
3,2.8,72,5,15,8,28,0
1,2.03,87,12,10,9,31,0
3,2.21,59,13,13,3,29,0
4,2.5,65,8,3,9,20,0
4,3.53,60,11,2,8,21,0
2,1.53,81,12,12,3,27,0
3,3.12,94,9,5,2,16,1
3,3.17,55,12,5,4,21,0
1,3.5,73,11,14,2,27,0
2,3.83,82,6,3,4,13,1
3,1.55,61,14,4,5,23,0
2,1.88,76,14,4,2,20,0
4,3.72,87,13,6,8,27,0
3,2.65,67,11,2,1,14,1
3,2.91,94,8,10,3,21,0
2,3.16,88,4,9,7,20,0
3,3.2,62,4,9,10,23,0
2,3.83,89,4,4,1,9,1
3,3.99,79,13,3,2,18,0
1,3.3,98,5,2,3,10,1
2,2.22,90,7,13,2,22,0
3,3.7,62,6,7,2,15,1
4,1.62,83,9,14,6,29,0
3,2.08,85,15,11,7,33,0
4,3.74,79,15,2,6,23,0
4,2.14,74,13,15,6,34,0
1,2.05,51,14,12,9,35,0
2,1.85,85,6,6,8,20,0
3,3.65,67,12,10,8,30,0
1,2.75,54,13,12,6,31,0
3,3.19,68,6,10,5,21,0
4,2.1,91,15,14,9,38,0
2,3.4,67,11,13,2,26,0
3,3.4,81,3,5,7,15,1
3,2.28,70,13,8,6,27,0
4,2.53,59,12,15,7,34,0
3,2.02,86,12,12,4,28,0
3,3.94,98,6,8,9,23,0
4,3.11,71,13,5,7,25,0
1,3.84,62,8,6,2,16,1
4,2.26,66,3,12,4,19,1
1,3.45,58,15,10,5,30,0
2,3.41,73,14,8,2,24,0
1,3.23,93,7,8,10,25,0
1,3.91,63,8,11,8,27,0
2,2.48,95,6,8,1,15,1
1,1.83,57,10,10,3,23,0
4,3.18,86,15,6,1,22,0
1,3.32,68,5,7,5,17,0
2,2.94,77,15,4,8,27,0
4,2.02,95,15,2,7,24,0
2,2.76,90,14,12,9,35,0
2,2.28,79,11,13,2,26,0
3,2.57,56,2,3,8,13,1
3,3.11,75,15,9,8,32,0
2,3.36,89,9,14,6,29,0
2,2.08,95,9,2,3,14,1
2,2.51,95,8,11,2,21,0
3,2.17,60,9,8,8,25,0
3,2.0,63,3,6,6,15,1
1,3.46,70,4,14,4,22,0
1,3.77,57,10,7,5,22,0
2,2.43,52,2,9,5,16,1
4,3.38,77,9,5,9,23,0
4,3.74,78,9,7,9,25,0
3,3.62,72,8,15,8,31,0
3,1.96,67,14,12,8,34,0
3,3.89,84,15,4,2,21,0
2,2.44,62,12,8,3,23,0
4,2.35,61,6,3,8,17,1
1,1.66,96,5,13,5,23,0
2,2.72,99,11,9,7,27,0
1,1.77,54,11,14,8,33,0
1,2.12,88,14,8,6,28,0
2,2.29,60,11,13,5,29,0
1,3.52,60,15,13,8,36,0
4,3.69,96,11,9,1,21,0
1,2.26,91,7,3,1,11,1
4,3.65,96,13,4,1,18,0
4,3.64,80,12,13,3,28,0
4,3.41,80,2,5,10,17,1
3,1.87,62,14,13,6,33,0
1,3.23,63,6,10,6,22,0
2,3.86,98,15,13,5,33,0
2,3.21,94,5,13,7,25,0
1,2.33,91,5,6,5,16,1
3,2.75,74,8,7,2,17,1
3,3.11,82,10,2,4,16,1
4,2.78,82,9,5,1,15,1
1,1.8,64,12,15,7,34,0
1,2.28,65,14,5,4,23,0
2,3.51,93,15,11,4,30,0
1,3.65,87,13,9,4,26,0
3,1.84,55,9,9,3,21,0
1,3.88,93,6,11,8,25,0
2,2.32,74,7,7,4,18,0
4,3.16,64,3,9,8,20,1
2,3.38,53,14,10,9,33,0
2,3.53,53,12,6,1,19,0
4,3.86,79,15,2,4,21,0
2,2.28,83,4,2,6,12,1
2,3.65,76,6,3,8,17,1
1,1.83,80,3,3,6,12,1
1,3.26,81,4,6,6,16,1
4,3.35,93,5,8,10,23,0
1,3.19,88,7,8,4,19,1
1,2.13,58,6,5,9,20,0
2,3.68,90,11,14,7,32,0
3,1.92,57,5,5,6,16,1
1,1.63,63,14,15,1,30,0
3,3.29,82,3,15,2,20,0
1,2.69,72,13,12,6,31,0
1,3.62,70,12,11,1,24,0
4,2.46,61,6,4,5,15,1
4,1.92,51,6,12,1,19,0
4,3.59,62,12,3,3,18,0
3,2.87,53,8,4,7,19,0
2,1.97,69,2,9,5,16,1
1,3.3,99,5,2,10,17,1
1,2.78,97,12,5,1,18,0
1,3.01,63,6,8,1,15,1
3,2.65,79,9,6,8,23,0
4,3.57,78,13,3,9,25,0
2,3.57,57,13,2,7,22,0
3,3.27,61,9,7,3,19,1
4,1.76,90,2,14,6,22,0
3,3.6,87,6,14,3,23,0
2,3.18,75,11,6,10,27,0
4,3.24,99,2,4,4,10,1
3,2.41,51,2,12,4,18,0
2,3.7,89,3,12,3,18,1
1,3.31,63,3,12,10,25,0
2,1.78,55,10,10,6,26,0
1,2.52,91,5,4,5,14,1
3,3.72,89,4,3,9,16,1
4,1.62,80,12,6,9,27,0
4,3.9,66,2,10,3,15,1
3,3.2,74,13,9,9,31,0
4,3.08,81,3,7,3,13,1
4,2.18,61,7,4,4,15,1
1,2.12,98,10,7,1,18,0
3,3.86,62,6,6,5,17,0
2,2.25,68,5,2,9,16,1
1,3.44,93,14,6,2,22,0
3,2.48,97,6,15,4,25,0
1,1.85,74,10,8,10,28,0
2,1.53,80,13,10,2,25,0
2,2.86,86,14,13,8,35,0
3,3.94,74,8,2,9,19,0
2,2.42,65,9,4,3,16,0
1,2.39,87,5,9,9,23,0
2,2.36,92,12,7,6,25,0
1,2.8,98,9,14,6,29,0
1,2.6,72,7,6,7,20,0
2,3.7,63,6,14,5,25,0
3,2.76,55,14,11,6,31,0
4,2.77,74,13,3,1,17,1
2,1.85,72,8,4,3,15,1
1,3.96,92,7,13,9,29,0
1,2.12,61,4,3,5,12,1
2,1.68,62,6,2,5,13,1
3,3.16,85,10,8,8,26,0
3,2.99,88,8,15,2,25,0
1,2.54,83,13,4,7,24,0
1,2.56,55,5,8,9,22,0
3,3.46,87,8,13,7,28,0
4,1.99,99,6,8,5,19,0
2,3.55,89,12,9,6,27,0
1,3.12,57,14,2,4,20,0
1,2.55,57,3,6,7,16,1
3,2.65,89,14,11,1,26,0
2,2.14,82,7,10,4,21,1
3,3.38,83,8,13,3,24,0
2,2.78,93,9,12,4,25,0
2,2.3,64,7,8,1,16,0
2,2.99,85,9,2,2,13,1
1,3.99,84,8,9,9,26,0
4,2.59,95,3,4,7,14,1
3,3.8,71,15,14,6,35,0
4,2.36,72,7,5,2,14,1
3,1.64,89,10,5,1,16,1
2,2.01,94,13,11,2,26,0
1,2.55,71,7,15,7,29,0
4,2.05,54,5,13,2,20,0
1,1.5,80,8,9,3,20,0
3,3.79,62,4,2,8,14,1
1,3.61,77,6,9,7,22,0
1,3.36,69,2,10,9,21,0
4,1.92,82,11,10,4,25,0
2,1.8,65,4,6,7,17,1
1,1.67,78,9,5,1,15,1
2,3.31,72,10,5,2,17,0
3,3.82,73,10,10,7,27,0
1,2.58,83,11,9,2,22,0
4,1.8,56,3,11,6,20,0
3,2.78,87,5,11,10,26,0
3,2.37,86,6,13,9,28,0
4,2.44,53,4,8,5,17,1
1,3.05,83,14,13,10,37,0
1,3.3,91,12,4,7,23,0
3,1.78,71,2,5,1,8,1
1,1.59,54,7,10,8,25,0
2,3.99,99,15,15,9,39,0
4,2.08,91,11,14,5,30,0
2,1.63,72,3,9,6,18,0
1,1.97,64,10,13,8,31,0
3,1.6,80,2,13,4,19,0
4,2.48,58,12,2,2,16,0
1,3.51,92,10,4,10,24,0
1,2.35,74,8,15,8,31,0
3,2.61,74,12,13,2,27,0
3,3.19,98,14,11,5,30,0
2,2.77,70,11,3,6,20,0
4,3.65,58,3,3,5,11,1
4,3.67,97,15,14,6,35,0
3,1.52,87,7,14,6,27,0
2,3.45,71,9,9,3,21,0
4,2.65,92,3,7,3,13,1
3,3.97,72,6,13,9,28,0
1,2.71,98,14,13,3,30,0
4,3.97,53,13,13,3,29,0
2,3.39,78,12,14,2,28,0
2,2.12,64,7,7,7,21,0
2,2.85,50,4,5,10,19,0
1,3.98,79,15,2,10,27,0
4,3.64,78,13,12,4,29,0
4,1.74,69,3,8,1,12,1
1,3.27,82,12,9,6,27,0
4,2.36,90,7,3,5,15,1
1,1.52,93,4,3,2,9,1
1,2.51,85,3,2,6,11,1
1,2.09,71,2,5,1,8,1
2,3.55,62,15,7,3,25,0
4,2.34,56,9,15,4,28,0
1,3.57,57,2,6,3,11,1
4,1.5,77,13,5,6,24,0
2,2.27,94,6,15,4,25,0
1,2.1,92,12,5,1,18,1
3,2.08,58,7,11,5,23,0
2,1.67,74,12,8,5,25,0
3,1.97,65,13,8,9,30,0
4,2.89,59,13,3,8,24,0
4,2.23,60,4,14,8,26,0
2,2.54,80,15,8,5,28,0
4,2.44,61,8,3,8,19,0
3,3.69,80,3,5,10,18,0
1,3.76,63,8,2,7,17,1
1,2.73,93,3,6,1,10,1
1,2.33,81,6,2,7,15,1
2,1.77,99,8,5,8,21,0
4,3.88,66,12,14,3,29,0
3,1.65,84,12,10,9,31,0
4,2.24,50,15,14,8,37,0
4,2.25,78,4,13,2,19,0
4,2.3,53,15,9,6,30,0
1,1.91,72,12,7,4,23,0
3,3.46,77,5,9,3,17,1
3,1.81,65,2,6,6,14,1
4,3.09,61,4,8,10,22,0
1,1.81,70,10,9,9,28,0
1,1.68,94,11,8,2,21,1
3,3.77,66,6,15,10,31,0
1,1.98,89,9,5,10,24,0
1,3.55,62,3,6,10,19,1
1,2.86,81,4,14,5,23,0
2,1.69,86,8,15,6,29,0
4,3.89,99,15,11,4,30,0
3,2.12,64,11,7,7,25,0
3,3.65,61,5,15,2,22,0
2,1.92,98,10,15,7,32,0
4,3.63,64,15,13,2,30,0
3,1.53,83,8,12,1,21,0
1,2.78,55,15,7,5,27,0
3,3.42,66,12,14,2,28,0
1,3.84,97,13,10,8,31,0
